45	PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA	00191	13
55	PARTIDO SOCIAL DEMOCRÁTICO	00191	13
77	SOLIDARIEDADE	00191	13
10	PARTIDO REPUBLICANO BRASILEIRO	00213	13
11	PARTIDO PROGRESSISTA	00213	13
12	PARTIDO DEMOCRÁTICO TRABALHISTA	00213	13
13	PARTIDO DOS TRABALHADORES	00213	13
14	PARTIDO TRABALHISTA BRASILEIRO	00213	13
15	PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO	00213	13
19	PARTIDO TRABALHISTA NACIONAL	00213	13
22	PARTIDO DA REPÚBLICA	00213	13
25	DEMOCRATAS	00213	13
27	PARTIDO SOCIAL DEMOCRATA CRISTÃO	00213	13
31	PARTIDO HUMANISTA DA SOLIDARIEDADE	00213	13
33	PARTIDO DA MOBILIZAÇÃO NACIONAL	00213	13
36	PARTIDO TRABALHISTA CRISTÃO	00213	13
40	PARTIDO SOCIALISTA BRASILEIRO	00213	13
43	PARTIDO VERDE	00213	13
44	PARTIDO REPUBLICANO PROGRESSISTA	00213	13
45	PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA	00213	13
55	PARTIDO SOCIAL DEMOCRÁTICO	00213	13
90	PARTIDO REPUBLICANO DA ORDEM SOCIAL	00213	13
10	PARTIDO REPUBLICANO BRASILEIRO	00230	13
11	PARTIDO PROGRESSISTA	00230	13
12	PARTIDO DEMOCRÁTICO TRABALHISTA	00230	13
13	PARTIDO DOS TRABALHADORES	00230	13
14	PARTIDO TRABALHISTA BRASILEIRO	00230	13
15	PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO	00230	13
19	PARTIDO TRABALHISTA NACIONAL	00230	13
20	PARTIDO SOCIAL CRISTÃO	00230	13
22	PARTIDO DA REPÚBLICA	00230	13
23	PARTIDO POPULAR SOCIALISTA	00230	13
25	DEMOCRATAS	00230	13
27	PARTIDO SOCIAL DEMOCRATA CRISTÃO	00230	13
31	PARTIDO HUMANISTA DA SOLIDARIEDADE	00230	13
33	PARTIDO DA MOBILIZAÇÃO NACIONAL	00230	13
40	PARTIDO SOCIALISTA BRASILEIRO	00230	13
43	PARTIDO VERDE	00230	13
45	PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA	00230	13
55	PARTIDO SOCIAL DEMOCRÁTICO	00230	13
90	PARTIDO REPUBLICANO DA ORDEM SOCIAL	00230	13
10	PARTIDO REPUBLICANO BRASILEIRO	00256	13
11	PARTIDO PROGRESSISTA	00256	13
13	PARTIDO DOS TRABALHADORES	00256	13
14	PARTIDO TRABALHISTA BRASILEIRO	00256	13
15	PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO	00256	13
19	PARTIDO TRABALHISTA NACIONAL	00256	13
20	PARTIDO SOCIAL CRISTÃO	00256	13
22	PARTIDO DA REPÚBLICA	00256	13
25	DEMOCRATAS	00256	13
27	PARTIDO SOCIAL DEMOCRATA CRISTÃO	00256	13
40	PARTIDO SOCIALISTA BRASILEIRO	00256	13
43	PARTIDO VERDE	00256	13
44	PARTIDO REPUBLICANO PROGRESSISTA	00256	13
45	PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA	00256	13
50	PARTIDO SOCIALISMO E LIBERDADE	00256	13
55	PARTIDO SOCIAL DEMOCRÁTICO	00256	13
65	PARTIDO COMUNISTA DO BRASIL	00256	13
77	SOLIDARIEDADE	00256	13
11	PARTIDO PROGRESSISTA	00272	13
12	PARTIDO DEMOCRÁTICO TRABALHISTA	00272	13
13	PARTIDO DOS TRABALHADORES	00272	13
14	PARTIDO TRABALHISTA BRASILEIRO	00272	13
15	PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO	00272	13
22	PARTIDO DA REPÚBLICA	00272	13
25	DEMOCRATAS	00272	13
31	PARTIDO HUMANISTA DA SOLIDARIEDADE	00272	13
40	PARTIDO SOCIALISTA BRASILEIRO	00272	13
43	PARTIDO VERDE	00272	13
45	PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA	00272	13
90	PARTIDO REPUBLICANO DA ORDEM SOCIAL	00272	13
