Ano;SiglaUF;TSEcod;IBGEcod;Municipio
1994;BA;33294;2901502;ANGUERA
1994;BA;33316;2901601;ANTAS
1994;BA;33332;2901700;ANTONIO CARDOSO
1994;BA;33359;2901809;ANTONIO GONCALVES
1994;BA;33375;2901908;APORA
1994;BA;33405;2901957;APUAREMA
1994;BA;33383;2902054;ARACAS
1994;BA;33391;2902005;ARACATU
1994;BA;33413;2902104;ARACI
1994;BA;33430;2902203;ARAMARI
1994;BA;30732;2902252;ARATACA
1994;BA;33456;2902302;ARATUIPE
1994;BA;33472;2902401;AURELINO LEAL
1994;BA;33499;2902500;BAIANOPOLIS
1994;BA;33510;2902609;BAIXA GRANDE
1994;BA;33529;2902658;BANZAE
1994;BA;33537;2902708;BARRA
1994;BA;33553;2902807;BARRA DA ESTIVA
1994;BA;33570;2902906;BARRA DO CHOCA
1994;BA;33596;2903003;BARRA DO MENDES
1994;BA;33618;2903102;BARRA DO ROCHA
1994;BA;33634;2903201;BARREIRAS
1994;BA;30759;2903235;BARRO ALTO
1994;BA;33650;2903300;BARRO PRETO
1994;BA;33677;2903409;BELMONTE
1994;BA;33693;2903508;BELO CAMPO
1994;BA;33715;2903607;BIRITINGA
1994;BA;33731;2903706;BOA NOVA
1994;BA;33758;2903805;BOA VISTA DO TUPIM
1994;BA;33774;2903904;BOM JESUS DA LAPA
1994;BA;33782;2903953;BOM JESUS DA SERRA
1994;BA;33790;2904001;BONINAL
1994;BA;33804;2904050;BONITO
1994;BA;33812;2904100;BOQUIRA
1994;BA;33839;2904209;BOTUPORA
1994;BA;33855;2904308;BREJOES
1994;BA;33871;2904407;BREJOLANDIA
1994;BA;33898;2904506;BROTAS DE MACAUBAS
1994;BA;33910;2904605;BRUMADO
1994;BA;33936;2904704;BUERAREMA
1994;BA;30791;2904753;BURITIRAMA
1994;BA;33952;2904803;CAATIBA
1994;BA;33960;2904852;CABACEIRAS DO PARAGUACU
1994;BA;33979;2904902;CACHOEIRA
1994;BA;33995;2905008;CACULE
1994;BA;34010;2905107;CAEM
1994;BA;34029;2905156;CAETANOS
1994;BA;34037;2905206;CAETITE
1994;BA;34053;2905305;CAFARNAUM
1994;BA;34070;2905404;CAIRU
1994;BA;34096;2905503;CALDEIRAO GRANDE
1994;BA;34118;2905602;CAMACAN
1994;BA;34134;2905701;CAMACARI
1994;BA;34150;2905800;CAMAMU
1994;BA;34177;2905909;CAMPO ALEGRE DE LOURDES
1994;BA;34193;2906006;CAMPO FORMOSO
1994;BA;34215;2906105;CANAPOLIS
1994;BA;34231;2906204;CANARANA
1994;BA;34258;2906303;CANAVIEIRAS
1994;BA;34274;2906402;CANDEAL
1994;BA;34290;2906501;CANDEIAS
1994;BA;34312;2906600;CANDIBA
1994;BA;34339;2906709;CANDIDO SALES
1994;BA;34355;2906808;CANSANCAO
1994;BA;30856;2906824;CANUDOS
1994;BA;30813;2906857;CAPELA DO ALTO ALEGRE
1994;BA;30830;2906873;CAPIM GROSSO
1994;BA;34363;2906899;CARAIBAS
1994;BA;34371;2906907;CARAVELAS
1994;BA;34398;2907004;CARDEAL DA SILVA
1994;BA;34410;2907103;CARINHANHA
1994;BA;34436;2907202;CASA NOVA
1994;BA;34452;2907301;CASTRO ALVES
1994;BA;34479;2907400;CATOLANDIA
1994;BA;34495;2907509;CATU
1994;BA;34509;2907558;CATURAMA
1994;BA;34517;2907608;CENTRAL
1994;BA;34533;2907707;CHORROCHO
1994;BA;34550;2907806;CICERO DANTAS
1994;BA;34576;2907905;CIPO
1994;BA;34592;2908002;COARACI
1994;BA;34614;2908101;COCOS
1994;BA;34630;2908200;CONCEICAO DA FEIRA
1994;BA;34657;2908309;CONCEICAO DO ALMEIDA
1994;BA;34673;2908408;CONCEICAO DO COITE
1994;BA;34690;2908507;CONCEICAO DO JACUIPE
1994;BA;34711;2908606;CONDE
1994;BA;34738;2908705;CONDEUBA
1994;BA;34754;2908804;CONTENDAS DO SINCORA
1994;BA;34770;2908903;CORACAO DE MARIA
1994;BA;34797;2909000;CORDEIROS
1994;BA;34819;2909109;CORIBE
1994;BA;34835;2909208;CORONEL JOAO SA
1994;BA;34851;2909307;CORRENTINA
1994;BA;34878;2909406;COTEGIPE
1994;BA;34894;2909505;CRAVOLANDIA
1994;BA;34916;2909604;CRISOPOLIS
1994;BA;34932;2909703;CRISTOPOLIS
1994;BA;34959;2909802;CRUZ DAS ALMAS
1994;BA;34975;2909901;CURACA
1994;BA;34991;2910008;DARIO MEIRA
1994;BA;30872;2910057;DIAS D AVILA
1994;BA;35017;2910107;DOM BASILIO
1994;BA;35033;2910206;DOM MACEDO COSTA
1994;BA;35050;2910305;ELISIO MEDRADO
1994;BA;35076;2910404;ENCRUZILHADA
1994;BA;35092;2910503;ENTRE RIOS
1994;BA;33090;2900504;ERICO CARDOSO
1994;BA;35114;2910602;ESPLANADA
1994;BA;35130;2910701;EUCLIDES DA CUNHA
1994;BA;30058;2910727;EUNAPOLIS
1994;BA;30899;2910750;FATIMA
1994;BA;35149;2910776;FEIRA DA MATA
1994;BA;35157;2910800;FEIRA DE SANTANA
1994;BA;30910;2910859;FILADELFIA
1994;BA;35173;2910909;FIRMINO ALVES
1994;BA;35190;2911006;FLORESTA AZUL
1994;BA;35211;2911105;FORMOSA DO RIO PRETO
1994;BA;35238;2911204;GANDU
1994;BA;30937;2911253;GAVIAO
1994;BA;35254;2911303;GENTIO DO OURO
1994;BA;35270;2911402;GLORIA
1994;BA;35297;2911501;GONGOGI
1994;BA;35319;2911600;GOVERNADOR MANGABEIRA
1994;BA;30953;2911659;GUAJERU
1994;BA;35335;2911709;GUANAMBI
1994;BA;35351;2911808;GUARATINGA
1994;BA;30970;2911857;HELIOPOLIS
1994;BA;35378;2911907;IACU
1994;BA;35394;2912004;IBIASSUCE
1994;BA;35416;2912103;IBICARAI
1994;BA;35432;2912202;IBICOARA
1994;BA;35459;2912301;IBICUI
1994;BA;35475;2912400;IBIPEBA
1994;BA;35513;2912509;IBIPITANGA
1994;BA;35530;2912608;IBIQUERA
1994;BA;35556;2912707;IBIRAPITANGA
1994;BA;35572;2912806;IBIRAPUA
1994;BA;35599;2912905;IBIRATAIA
1994;BA;35610;2913002;IBITIARA
1994;BA;35637;2913101;IBITITA
1994;BA;35653;2913200;IBOTIRAMA
1994;BA;35670;2913309;ICHU
1994;BA;35696;2913408;IGAPORA
1994;BA;35700;2913457;IGRAPIUNA
1994;BA;35718;2913507;IGUAI
1994;BA;35734;2913606;ILHEUS
1994;BA;35750;2913705;INHAMBUPE
1994;BA;35777;2913804;IPECAETA
1994;BA;35793;2913903;IPIAU
1994;BA;35815;2914000;IPIRA
1994;BA;35831;2914109;IPUPIARA
1994;BA;35858;2914208;IRAJUBA
1994;BA;35874;2914307;IRAMAIA
1994;BA;35890;2914406;IRAQUARA
1994;BA;35912;2914505;IRARA
1994;BA;35939;2914604;IRECE
1994;BA;35947;2914653;ITABELA
1994;BA;35955;2914703;ITABERABA
1994;BA;35971;2914802;ITABUNA
1994;BA;35998;2914901;ITACARE
1994;BA;36013;2915007;ITAETE
1994;BA;36030;2915106;ITAGI
1994;BA;36056;2915205;ITAGIBA
1994;BA;36072;2915304;ITAGIMIRIM
1994;BA;36080;2915353;ITAGUACU DA BAHIA
1994;BA;36099;2915403;ITAJU DO COLONIA
1994;BA;36110;2915502;ITAJUIPE
1994;BA;36137;2915601;ITAMARAJU
1994;BA;36153;2915700;ITAMARI
1994;BA;36170;2915809;ITAMBE
1994;BA;36196;2915908;ITANAGRA
1994;BA;36218;2916005;ITANHEM
1994;BA;36234;2916104;ITAPARICA
1994;BA;36250;2916203;ITAPE
1994;BA;36277;2916302;ITAPEBI
1994;BA;36293;2916401;ITAPETINGA
1994;BA;36315;2916500;ITAPICURU
1994;BA;36331;2916609;ITAPITANGA
1994;BA;36358;2916708;ITAQUARA
1994;BA;36374;2916807;ITARANTIM
1994;BA;36382;2916856;ITATIM
1994;BA;36390;2916906;ITIRUCU
1994;BA;36412;2917003;ITIUBA
1994;BA;36439;2917102;ITORORO
1994;BA;36455;2917201;ITUACU
1994;BA;36471;2917300;ITUBERA
1994;BA;30660;2917334;IUIU
1994;BA;30678;2917359;JABORANDI
1994;BA;36498;2917409;JACARACI
1994;BA;36510;2917508;JACOBINA
1994;BA;36536;2917607;JAGUAQUARA
1994;BA;36552;2917706;JAGUARARI
1994;BA;36579;2917805;JAGUARIPE
1994;BA;36595;2917904;JANDAIRA
1994;BA;36617;2918001;JEQUIE
1994;BA;36633;2918100;JEREMOABO
1994;BA;36650;2918209;JIQUIRICA
1994;BA;36676;2918308;JITAUNA
1994;BA;30996;2918357;JOAO DOURADO
1994;BA;36692;2918407;JUAZEIRO
1994;BA;36706;2918456;JUCURUCU
1994;BA;36714;2918506;JUSSARA
1994;BA;30694;2918555;JUSSARI
1994;BA;36730;2918605;JUSSIAPE
1994;BA;36757;2918704;LAFAIETE COUTINHO
1994;BA;36765;2918753;LAGOA REAL
1994;BA;36773;2918803;LAJE
1994;BA;36790;2918902;LAJEDAO
1994;BA;36811;2919009;LAJEDINHO
1994;BA;36820;2919058;LAJEDO DO TABOCAL
1994;BA;36838;2919108;LAMARAO
1994;BA;39730;2919157;LAPAO
1994;BA;36854;2919207;LAURO DE FREITAS
1994;BA;36870;2919306;LENCOIS
1994;BA;36897;2919405;LICINIO DE ALMEIDA
1994;BA;36919;2919504;LIVRAMENTO DE NOSSA SENHO
1994;BA;36935;2919603;MACAJUBA
1994;BA;36951;2919702;MACARANI
1994;BA;36978;2919801;MACAUBAS
1994;BA;36994;2919900;MACURURE
1994;BA;39748;2919926;MADRE DE DEUS
1994;BA;39756;2919959;MAETINGA
1994;BA;37010;2920007;MAIQUINIQUE
1994;BA;37036;2920106;MAIRI
1994;BA;37052;2920205;MALHADA
1994;BA;37079;2920304;MALHADA DE PEDRAS
1994;BA;37095;2920403;MANOEL VITORINO
1994;BA;39772;2920452;MANSIDAO
1994;BA;37117;2920502;MARACAS
1994;BA;37133;2920601;MARAGOGIPE
1994;BA;37150;2920700;MARAU
1994;BA;37176;2920809;MARCIONILIO SOUZA
1994;BA;37192;2920908;MASCOTE
1994;BA;37214;2921005;MATA DE SAO JOAO
1994;BA;37222;2921054;MATINA
1994;BA;37230;2921104;MEDEIROS NETO
1994;BA;37257;2921203;MIGUEL CALMON
1994;BA;37273;2921302;MILAGRES
1994;BA;37290;2921401;MIRANGABA
1994;BA;37303;2921450;MIRANTE
1994;BA;37311;2921500;MONTE SANTO
1994;BA;37338;2921609;MORPARA
1994;BA;37354;2921708;MORRO DO CHAPEU
1994;BA;37370;2921807;MORTUGABA
1994;BA;37397;2921906;MUCUGE
1994;BA;37419;2922003;MUCURI
1994;BA;37427;2922052;MULUNGU DO MORRO
1994;BA;37435;2922102;MUNDO NOVO
1994;BA;37451;2922201;MUNIZ FERREIRA
1994;BA;37460;2922250;MUQUEM DO SAO FRANCISCO
1994;BA;37478;2922300;MURITIBA
1994;BA;37494;2922409;MUTUIPE
1994;BA;37516;2922508;NAZARE
1994;BA;37532;2922607;NILO PECANHA
1994;BA;39799;2922656;NORDESTINA
1994;BA;37559;2922706;NOVA CANAA
1994;BA;37567;2922730;NOVA FATIMA
1994;BA;39969;2922755;NOVA IBIA
1994;BA;37575;2922805;NOVA ITARANA
