SEQUENCIA_COLIGACAO,DATA_GERACAO,HORA_GERACAO,ANO_ELEICAO,NUM_TURNO,DESCRICAO_ELEICAO,SIGLA_UF,SIGLA_UE,NOME_UE,CODIGO_CARGO,DESCRICAO_CARGO,TIPO_LEGENDA,NUM_PARTIDO,SIGLA_PARTIDO2,NOME_PARTIDO,SIGLA_COLIGACAO,NOME_COLIGACAO,COMPOSICAO_COLIGACAO,SIGLA_PARTIDO
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AM,AM,AMAZONAS,4,VICE-GOVERNADOR,PARTIDO ISOLADO,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTÃO,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AM,AM,AMAZONAS,4,VICE-GOVERNADOR,PARTIDO ISOLADO,29,PCO,PARTIDO DA CAUSA OPERÁRIA,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AM,AM,AMAZONAS,5,SENADOR,PARTIDO ISOLADO,12,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AM,AM,AMAZONAS,5,SENADOR,PARTIDO ISOLADO,29,PCO,PARTIDO DA CAUSA OPERÁRIA,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AM,AM,AMAZONAS,5,SENADOR,PARTIDO ISOLADO,43,PV,PARTIDO VERDE,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AM,AM,AMAZONAS,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,12,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AM,AM,AMAZONAS,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTÃO,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AM,AM,AMAZONAS,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,29,PCO,PARTIDO DA CAUSA OPERÁRIA,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AM,AM,AMAZONAS,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,43,PV,PARTIDO VERDE,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AM,AM,AMAZONAS,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,12,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AM,AM,AMAZONAS,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTÃO,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AM,AM,AMAZONAS,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,29,PCO,PARTIDO DA CAUSA OPERÁRIA,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AM,AM,AMAZONAS,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,43,PV,PARTIDO VERDE,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AM,AM,AMAZONAS,9,1º SUPLENTE SENADOR,PARTIDO ISOLADO,12,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AM,AM,AMAZONAS,9,1º SUPLENTE SENADOR,PARTIDO ISOLADO,29,PCO,PARTIDO DA CAUSA OPERÁRIA,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AM,AM,AMAZONAS,9,1º SUPLENTE SENADOR,PARTIDO ISOLADO,43,PV,PARTIDO VERDE,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AM,AM,AMAZONAS,10,2º SUPLENTE SENADOR,PARTIDO ISOLADO,12,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AM,AM,AMAZONAS,10,2º SUPLENTE SENADOR,PARTIDO ISOLADO,29,PCO,PARTIDO DA CAUSA OPERÁRIA,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AM,AM,AMAZONAS,10,2º SUPLENTE SENADOR,PARTIDO ISOLADO,43,PV,PARTIDO VERDE,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:31,2006,1,ELEICOES 2006,AP,AP,AMAPÁ,3,GOVERNADOR,PARTIDO ISOLADO,26,PAN,PARTIDO DOS APOSENTADOS DA NAÇÃO,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:31,2006,1,ELEICOES 2006,AP,AP,AMAPÁ,3,GOVERNADOR,PARTIDO ISOLADO,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:31,2006,1,ELEICOES 2006,AP,AP,AMAPÁ,4,VICE-GOVERNADOR,PARTIDO ISOLADO,26,PAN,PARTIDO DOS APOSENTADOS DA NAÇÃO,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:31,2006,1,ELEICOES 2006,AP,AP,AMAPÁ,4,VICE-GOVERNADOR,PARTIDO ISOLADO,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:31,2006,1,ELEICOES 2006,AP,AP,AMAPÁ,5,SENADOR,PARTIDO ISOLADO,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:31,2006,1,ELEICOES 2006,AP,AP,AMAPÁ,5,SENADOR,PARTIDO ISOLADO,17,PSL,PARTIDO SOCIAL LIBERAL,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:31,2006,1,ELEICOES 2006,AP,AP,AMAPÁ,5,SENADOR,PARTIDO ISOLADO,21,PCB,PARTIDO COMUNISTA BRASILEIRO,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:31,2006,1,ELEICOES 2006,AP,AP,AMAPÁ,5,SENADOR,PARTIDO ISOLADO,25,PFL,PARTIDO DA FRENTE LIBERAL,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:31,2006,1,ELEICOES 2006,AP,AP,AMAPÁ,5,SENADOR,PARTIDO ISOLADO,26,PAN,PARTIDO DOS APOSENTADOS DA NAÇÃO,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:31,2006,1,ELEICOES 2006,AP,AP,AMAPÁ,5,SENADOR,PARTIDO ISOLADO,33,PMN,PARTIDO DA MOBILIZAÇÃO NACIONAL,#NE#,#NE#,#NE#,#NE#
