nome_uf;uf;nome_municipio;cod_ibge;cod_tse;2000;2004;2008;2012;2016
Amazonas;AM;Santo Antônio do Içá;1303700; 2739;11; 9; 9;11;11
Amazonas;AM;São Gabriel da Cachoeira;1303809; 2836; 9; 9; 9;13;13
Amazonas;AM;São Paulo de Olivença;1303908; 2755; 9; 9; 9; 9; 9
Amazonas;AM;São Sebastião do Uatumã;1303957;98450; 9; 9; 9; 9; 9
Amazonas;AM;Silves;1304005; 2771; 9; 9; 9; 9; 9
Amazonas;AM;Tabatinga;1304062;98477;13; 9; 9;15;15
Amazonas;AM;Tapauá;1304104; 2798; 9; 9; 9;11;11
Amazonas;AM;Tefé;1304203; 2810;15;10;10;15;15
Amazonas;AM;Tonantins;1304237;98515; 9; 9; 9;11;11
Amazonas;AM;Uarini;1304260;98493; 9; 9; 9; 9; 9
Amazonas;AM;Urucará;1304302; 2852; 9; 9; 9;11;11
Amazonas;AM;Urucurituba;1304401; 2879; 9; 9; 9;11;11
Roraima;RR;Alto Alegre;1400050; 3050; 9; 9; 9; 9; 9
Roraima;RR;Amajari;1400027; 3042; 9; 9; 9; 9; 9
Roraima;RR;Boa Vista;1400100; 3018;17;13;14;21;21
Roraima;RR;Bonfim;1400159; 3077;11; 9; 9; 9; 9
Roraima;RR;Cantá;1400175; 3069; 9; 9; 9; 9; 9
Roraima;RR;Caracaraí;1400209; 3034;12; 9; 9;11;11
Roraima;RR;Caroebe;1400233; 3000; 9; 9; 9; 9; 9
Roraima;RR;Iracema;1400282; 3026; 9; 9; 9; 9; 9
Roraima;RR;Mucajaí;1400308; 3093;11; 9; 9; 9;11
Roraima;RR;Normandia;1400407; 3115;11; 9; 9; 9; 9
Roraima;RR;Pacaraima;1400456; 3123; 9; 9; 9; 9; 9
Roraima;RR;Rorainópolis;1400472; 3085;11; 9; 9;11;11
Roraima;RR;São João da Baliza;1400506; 3131;11; 9; 9; 9; 9
Roraima;RR;São Luiz;1400605; 3158;11; 9; 9; 9; 9
Roraima;RR;Uiramutã;1400704; 3107; 9; 9; 9; 9; 9
Pará;PA;Abaetetuba;1500107; 4014;15;11;11;15;15
Pará;PA;Abel Figueiredo;1500131; 4502; 9; 9; 9; 9; 9
Pará;PA;Acará;1500206; 4030;13;10;10;13;13
Pará;PA;Afuá;1500305; 4057;11; 9; 9;11;11
Pará;PA;Água Azul do Norte;1500347; 4260; 9; 9; 9;11;11
Pará;PA;Alenquer;1500404; 4073;13; 9; 9;15;15
Pará;PA;Almeirim;1500503; 4090;11; 9; 9; 9;11
Pará;PA;Altamira;1500602; 4111;19;10;11;15;15
Pará;PA;Anajás;1500701; 4138; 9; 9; 9;11;11
Pará;PA;Ananindeua;1500800; 4154;17;18;19;25;25
Pará;PA;Anapu;1500859; 4723; 9; 9; 9; 9;11
Pará;PA;Augusto Corrêa;1500909; 4170;11; 9; 9;13;13
Pará;PA;Aurora do Pará;1500958; 4340; 9; 9; 9; 9;11
Pará;PA;Aveiro;1501006; 4197; 9; 9; 9; 9; 9
Pará;PA;Bagre;1501105; 4219; 9; 9; 9;11;11
Pará;PA;Baião;1501204; 4235;11; 9; 9;13;13
Pará;PA;Bannach;1501253; 4588; 9; 9; 9; 9; 9
Pará;PA;Barcarena;1501303; 4251;13;10;10;13;15
Pará;PA;Belém;1501402; 4278;33;35;35;35;35
Pará;PA;Belterra;1501451; 4804; 9; 9; 9;11;11
Pará;PA;Benevides;1501501; 4294;11; 9; 9; 9; 9
Pará;PA;Bom Jesus do Tocantins;1501576; 4049; 9; 9; 9; 9; 9
Pará;PA;Bonito;1501600; 4316; 9; 9; 9; 9; 9
Pará;PA;Bragança;1501709; 4332;15;11;11;17;17
Pará;PA;Brasil Novo;1501725; 4227; 9; 9; 9; 9; 9
Pará;PA;Brejo Grande do Araguaia;1501758; 5932; 9; 9; 9; 9; 9
Pará;PA;Breu Branco;1501782; 4448;11; 9; 9;13;13
Pará;PA;Breves;1501808; 4359;13;10;10;15;17
Pará;PA;Bujaru;1501907; 4375; 9; 9; 9;11;11
Pará;PA;Cachoeira do Arari;1502004; 4391; 9; 9; 9;11;11
Pará;PA;Cachoeira do Piriá;1501956; 4766; 9; 9; 9;11;11
Pará;PA;Cametá;1502103; 4413;15;11;11;15;15
Pará;PA;Canaã dos Carajás;1502152; 4707; 9; 9; 9;11;13
Pará;PA;Capanema;1502202; 4430;13;10;10;15;15
Pará;PA;Capitão Poço;1502301; 4456;13;10;10;15;15
Pará;PA;Castanhal;1502400; 4472;15;12;12;21;21
Pará;PA;Chaves;1502509; 4499; 9; 9; 9;11;11
Pará;PA;Colares;1502608; 4510; 9; 9; 9; 9; 9
Pará;PA;Conceição do Araguaia;1502707; 4537;13; 9; 9;13;13
Pará;PA;Concórdia do Pará;1502756; 5819; 9; 9; 9;11;11
Pará;PA;Cumaru do Norte;1502764; 4529; 9; 9; 9; 9; 9
Pará;PA;Curionópolis;1502772; 5851;11; 9; 9;11;11
Pará;PA;Curralinho;1502806; 4553; 9; 9; 9;11;11
Pará;PA;Curuá;1502855; 4740; 9; 9; 9; 9; 9
Pará;PA;Curuçá;1502905; 4570;11; 9; 9;13;13
Pará;PA;Dom Eliseu;1502939; 5975;11; 9; 9;13;15
Pará;PA;Eldorado do Carajás;1502954; 4120; 9; 9; 9;13; 9
Pará;PA;Faro;1503002; 4596; 9; 9; 9; 9; 9
Pará;PA;Floresta do Araguaia;1503044; 4561; 9; 9; 9;11;11
Pará;PA;Garrafão do Norte;1503077; 5878;11; 9; 9;11;11
Pará;PA;Goianésia do Pará;1503093; 4006;11; 9; 9;13;13
Pará;PA;Gurupá;1503101; 4618; 9; 9; 9;11;11
Pará;PA;Igarapé-Açu;1503200; 4634;11; 9; 9;13;13
Pará;PA;Igarapé-Miri;1503309; 4650;13;10;10;13;15
Pará;PA;Inhangapi;1503408; 4677; 9; 9; 9; 9; 9
Pará;PA;Ipixuna do Pará;1503457; 4189; 9; 9; 9;11;11
Pará;PA;Irituia;1503507; 4693;11; 9; 9;13;13
Pará;PA;Itaituba;1503606; 4715;15;11;11;15;15
Pará;PA;Itupiranga;1503705; 4731;13;10;10;13;13
Pará;PA;Jacareacanga;1503754; 4200; 9; 9; 9;11;11
Pará;PA;Jacundá;1503804; 4758;13; 9;10;13;13
Pará;PA;Juruti;1503903; 4774;11; 9; 9;13;13
Pará;PA;Limoeiro do Ajuru;1504000; 4790; 9; 9; 9;11;11
Pará;PA;Mãe do Rio;1504059; 4103; 9; 9; 9;11;11
Pará;PA;Magalhães Barata;1504109; 4812; 9; 9; 9; 9; 9
Pará;PA;Marabá;1504208; 4839;17;12;13;21;21
Pará;PA;Maracanã;1504307; 4855;11; 9; 9;11;11
Pará;PA;Marapanim;1504406; 4871;11; 9; 9;11;11
Pará;PA;Marituba;1504422; 4642;13;10;10;13;15
Pará;PA;Medicilândia;1504455; 5770;11; 9; 9;11;11
Pará;PA;Melgaço;1504505; 4898; 9; 9; 9;11;11
Pará;PA;Mocajuba;1504604; 4910; 9; 9; 9;11;11
Pará;PA;Moju;1504703; 4936;13;10;10;13;15
Pará;PA;Mojuí dos Campos;1504752; 4863;NA;NA; 9; 9; 9
Pará;PA;Monte Alegre;1504802; 4952;13;10;10;15;15
Pará;PA;Muaná;1504901; 4979;11; 9; 9; 9; 9
Pará;PA;Nova Esperança do Piriá;1504950; 4480; 9; 9; 9; 9; 9
Pará;PA;Nova Ipixuna;1504976; 4600; 9; 9; 9; 9; 9
Pará;PA;Nova Timboteua;1505007; 4995; 9; 9; 9; 9; 9
Pará;PA;Novo Progresso;1505031; 4383; 9; 9; 9; 9; 9
Pará;PA;Novo Repartimento;1505064; 4421;11; 9; 9;13;13
Pará;PA;Óbidos;1505106; 5010;13;10;10;13;13
Pará;PA;Oeiras do Pará;1505205; 5037; 9; 9; 9;11;11
Pará;PA;Oriximiná;1505304; 5053;13;10;10;15;15
Pará;PA;Ourém;1505403; 5070; 9; 9; 9; 9; 9
Pará;PA;Ourilândia do Norte;1505437; 5959;11; 9; 9;11;13
Pará;PA;Pacajá;1505486; 5916;11; 9; 9;11;13
Pará;PA;Palestina do Pará;1505494; 4162; 9; 9; 9; 9; 9
Pará;PA;Paragominas;1505502; 5096;13;10;10;13;13
Pará;PA;Parauapebas;1505536; 5835;13;10;11;15;15
Pará;PA;Pau D'Arco;1505551; 4308; 9; 9; 9; 9; 9
Pará;PA;Peixe-Boi;1505601; 5118; 9; 9; 9; 9; 9
Pará;PA;Piçarra;1505635; 4782; 9; 9; 9; 9; 9
Pará;PA;Placas;1505650; 4626; 9; 9; 9;11;11
Pará;PA;Ponta de Pedras;1505700; 5134; 9; 9; 9; 9;11
Pará;PA;Portel;1505809; 5150;11; 9; 9;13;15
Pará;PA;Porto de Moz;1505908; 5177; 9; 9; 9;13;13
Pará;PA;Prainha;1506005; 5193;11; 9; 9;11;11
Pará;PA;Primavera;1506104; 5215; 9; 9; 9; 9; 9
Pará;PA;Quatipuru;1506112; 4685; 9; 9; 9; 9; 9
Pará;PA;Redenção;1506138; 5673;13;10;10;15;15
Pará;PA;Rio Maria;1506161; 5690;11; 9; 9;11;11
Pará;PA;Rondon do Pará;1506187; 5738;13; 9; 9;13;13
Pará;PA;Rurópolis;1506195; 5894;11; 9; 9;13;13
Pará;PA;Salinópolis;1506203; 5231; 9; 9; 9;13;13
Pará;PA;Salvaterra;1506302; 5258; 9; 9; 9;11;11
Pará;PA;Santa Bárbara do Pará;1506351; 4243; 9; 9; 9;11;11
Pará;PA;Santa Cruz do Arari;1506401; 5274; 9; 9; 9; 9; 9
Pará;PA;Santa Izabel do Pará;1506500; 5290;13; 9;10;13;15
Pará;PA;Santa Luzia do Pará;1506559; 4146; 9; 9; 9;11;11
Pará;PA;Santa Maria das Barreiras;1506583; 5991; 9; 9; 9;11;11
Pará;PA;Santa Maria do Pará;1506609; 5312;11; 9; 9;11;11
Pará;PA;Santana do Araguaia;1506708; 5339;11; 9; 9;15;15
Pará;PA;Santarém;1506807; 5355;17;14;14;21;21
Pará;PA;Santarém Novo;1506906; 5371; 9; 9; 9; 9; 9
Pará;PA;Santo Antônio do Tauá;1507003; 5398; 9; 9; 9;11;11
Pará;PA;São Caetano de Odivelas;1507102; 5410;11; 9; 9;11;11
Pará;PA;São Domingos do Araguaia;1507151; 4464; 9; 9; 9;11;11
Pará;PA;São Domingos do Capim;1507201; 5436;11; 9; 9; 9; 9
Pará;PA;São Félix do Xingu;1507300; 5452;11; 9;10;15;15
Pará;PA;São Francisco do Pará;1507409; 5479; 9; 9; 9; 9; 9
Pará;PA;São Geraldo do Araguaia;1507458; 5797;11; 9; 9;11;11
Pará;PA;São João da Ponta;1507466; 4820; 9; 9; 9; 9; 9
Pará;PA;São João de Pirabas;1507474; 4065; 9; 9; 9;11;11
Pará;PA;São João do Araguaia;1507508; 5495; 9; 9; 9; 9; 9
Pará;PA;São Miguel do Guamá;1507607; 5517;11; 9; 9;15;15
Pará;PA;São Sebastião da Boa Vista;1507706; 5533; 9; 9; 9; 9;11
Pará;PA;Sapucaia;1507755; 4847; 9; 9; 9; 9; 9
Pará;PA;Senador José Porfírio;1507805; 5550;11; 9; 9; 9; 9
Pará;PA;Soure;1507904; 5576;11; 9; 9; 9;11
Pará;PA;Tailândia;1507953; 4022; 9; 9; 9;13;13
Pará;PA;Terra Alta;1507961; 4545; 9; 9; 9; 9; 9
Pará;PA;Terra Santa;1507979; 4367; 9; 9; 9;11;11
Pará;PA;Tomé-Açu;1508001; 5592;13;10;10;15;15
Pará;PA;Tracuateua;1508035; 4669; 9; 9; 9;11;11
Pará;PA;Trairão;1508050; 4286; 9; 9; 9;11;11
Pará;PA;Tucumã;1508084; 4081;11; 9; 9;13;13
Pará;PA;Tucuruí;1508100; 5614;13;10;10;13;13
Pará;PA;Ulianópolis;1508126; 4324; 9; 9; 9; 9;11
Pará;PA;Uruará;1508159; 5754;13;10;10;13;13
Pará;PA;Vigia;1508209; 5630;13; 9; 9;13;13
Pará;PA;Viseu;1508308; 5657;11;10;10;10;13
Pará;PA;Vitória do Xingu;1508357; 4405; 9; 9; 9; 9; 9
Pará;PA;Xinguara;1508407; 5711;13; 9; 9;13;13
Amapá;AP;Amapá;1600105; 6017; 9; 9; 9; 9; 9
Amapá;AP;Calçoene;1600204; 6033; 9; 9; 9; 9; 9
Amapá;AP;Cutias;1600212; 6068; 9; 9; 9; 9; 9
Amapá;AP;Ferreira Gomes;1600238; 6114; 9; 9; 9; 9; 9
Amapá;AP;Itaubal;1600253; 6041; 9; 9; 9; 9; 9
Amapá;AP;Laranjal do Jari;1600279; 6130;13; 9; 9; 9; 9
Amapá;AP;Macapá;1600303; 6050;17;15;16;23;23
Amapá;AP;Mazagão;1600402; 6076; 9; 9; 9;11;11
Amapá;AP;Oiapoque;1600501; 6092;11; 9; 9;11;11
Amapá;AP;Pedra Branca do Amapari;1600154; 6084; 9; 9; 9; 9; 9
Amapá;AP;Porto Grande;1600535; 6025; 9; 9; 9; 9;11
Amapá;AP;Pracuúba;1600550; 6009; 9; 9; 9; 9; 9
Amapá;AP;Santana;1600600; 6157;17;10;10;13;15
Amapá;AP;Serra do Navio;1600055; 6106; 9; 9; 9; 9; 9
Amapá;AP;Tartarugalzinho;1600709; 6173; 9; 9; 9; 9; 9
Amapá;AP;Vitória do Jari;1600808; 6122; 9; 9; 9; 9; 9
Tocantins;TO;Abreulândia;1700251;73008; 9; 9; 9; 9; 9
Tocantins;TO;Aguiarnópolis;1700301;73512; 9; 9; 9; 9; 9
Tocantins;TO;Aliança do Tocantins;1700350;96954; 9; 9; 9; 9; 9
Tocantins;TO;Almas;1700400;92070; 9; 9; 9; 9; 9
Tocantins;TO;Alvorada;1700707;92134; 9; 9; 9; 9; 9
Tocantins;TO;Ananás;1701002;92193; 9; 9; 9; 9; 9
Tocantins;TO;Angico;1701051;73075; 9; 9; 9; 9; 9
Tocantins;TO;Aparecida do Rio Negro;1701101;96970; 9; 9; 9; 9; 9
Tocantins;TO;Aragominas;1701309;73334; 9; 9; 9; 9; 9
Tocantins;TO;Araguacema;1701903;92371; 9; 9; 9; 9; 9
Tocantins;TO;Araguaçu;1702000;92398; 9; 9; 9; 9; 9
Tocantins;TO;Araguaína;1702109;92410;13;11;11;17;17
Tocantins;TO;Araguanã;1702158;73318; 9; 9; 9; 9; 9
Tocantins;TO;Araguatins;1702208;92436; 9; 9; 9;11;11
Tocantins;TO;Arapoema;1702307;92452; 9; 9; 9; 9; 9
Tocantins;TO;Arraias;1702406;92479; 9; 9; 9; 9; 9
Tocantins;TO;Augustinópolis;1702554;96857; 9; 9; 9;11;11
Tocantins;TO;Aurora do Tocantins;1702703;92533; 9; 9; 9; 9; 9
Tocantins;TO;Axixá do Tocantins;1702901;92576; 9; 9; 9; 9; 9
Tocantins;TO;Babaçulândia;1703008;92592; 9; 9; 9; 9; 9
Tocantins;TO;Bandeirantes do Tocantins;1703057;73580; 9; 9; 9; 9; 9
Tocantins;TO;Barra do Ouro;1703073;73610; 9; 9; 9; 9; 9
Tocantins;TO;Barrolândia;1703107;96997; 9; 9; 9; 9; 9
Tocantins;TO;Bernardo Sayão;1703206;92002; 9; 9; 9; 9; 9
Tocantins;TO;Bom Jesus do Tocantins;1703305;73121; 9; 9; 9; 9; 9
Tocantins;TO;Brasilândia do Tocantins;1703602;73245; 9; 9; 9; 9; 9
Tocantins;TO;Brejinho de Nazaré;1703701;92738; 9; 9; 9; 9; 9
Tocantins;TO;Buriti do Tocantins;1703800;92045; 9; 9; 9; 9; 9
Tocantins;TO;Cachoeirinha;1703826;73067; 9; 9; 9; 9; 9
Tocantins;TO;Campos Lindos;1703842;73091; 9; 9; 9; 9; 9
Tocantins;TO;Cariri do Tocantins;1703867;73300; 9; 9; 9; 9; 9
Tocantins;TO;Carmolândia;1703883;73326; 9; 9; 9; 9; 9
Tocantins;TO;Carrasco Bonito;1703891;73423; 9; 9; 9; 9; 9
Tocantins;TO;Caseara;1703909;92088; 9; 9; 9; 9; 9
